"","lsoa_cd","count_95Q1","count_95Q2","count_95Q3","count_95Q4","count_96Q1","count_96Q2","count_96Q3","count_96Q4","count_97Q1","count_97Q2","count_97Q3","count_97Q4","count_98Q1","count_98Q2","count_98Q3","count_98Q4","count_99Q1","count_99Q2","count_99Q3","count_99Q4","count_00Q1","count_00Q2","count_00Q3","count_00Q4","count_01Q1","count_01Q2","count_01Q3","count_01Q4","count_02Q1","count_02Q2","count_02Q3","count_02Q4","count_03Q1","count_03Q2","count_03Q3","count_03Q4","count_04Q1","count_04Q2","count_04Q3","count_04Q4","count_05Q1","count_05Q2","count_05Q3","count_05Q4","count_06Q1","count_06Q2","count_06Q3","count_06Q4","count_07Q1","count_07Q2","count_07Q3","count_07Q4","count_08Q1","count_08Q2","count_08Q3","count_08Q4","count_09Q1","count_09Q2","count_09Q3","count_09Q4","count_10Q1","count_10Q2","count_10Q3","count_10Q4","count_11Q1","count_11Q2","count_11Q3","count_11Q4","count_12Q1","count_12Q2","count_12Q3","count_12Q4","count_13Q1","count_13Q2","count_13Q3","count_13Q4","count_14Q1","count_14Q2","count_14Q3","count_14Q4","count_15Q1","count_15Q2","count_15Q3","count_15Q4","count_16Q1","count_16Q2","count_16Q3","count_16Q4","count_17Q1","count_17Q2","count_17Q3","count_17Q4","count_18Q1","count_18Q2","count_18Q3","count_18Q4"
"1",NA,147,162,155,157,158,172,176,202,157,190,236,243,174,188,226,191,164,184,237,249,201,277,276,305,266,339,363,415,325,420,449,454,309,365,375,473,289,374,307,294,198,263,285,287,239,258,308,263,239,248,252,260,205,179,159,109,79,107,139,178,98,114,119,126,84,98,109,100,90,83,76,89,55,101,144,257,232,260,234,436,235,293,332,288,382,629,1106,2464,1754,2059,1532,1666,1453,1804,1647,1531
"2","E01000001",13,10,16,23,20,33,51,36,27,18,12,23,19,20,20,23,14,32,26,22,10,12,11,20,65,18,17,19,7,17,29,13,13,15,12,18,14,18,20,13,15,19,24,14,16,14,15,20,12,13,27,11,8,2,6,3,6,4,20,11,9,11,8,10,5,10,13,8,9,9,10,10,8,13,9,10,13,14,8,10,6,9,16,5,17,6,3,4,6,8,18,10,10,6,15,7
"3","E01000002",11,15,13,9,8,5,13,18,22,9,14,12,8,11,16,12,17,21,28,20,12,12,13,11,5,18,11,7,12,9,9,20,3,9,11,24,7,11,19,5,7,14,14,7,6,6,14,9,10,6,7,9,1,1,3,2,NA,4,7,10,3,30,25,9,10,16,10,18,5,8,6,4,7,5,182,54,18,20,13,48,50,14,19,13,17,10,10,8,11,11,17,9,7,12,7,13
"4","E01000003",11,7,9,6,3,13,19,21,59,14,9,27,16,21,19,9,15,15,18,13,22,18,11,13,16,14,20,17,20,19,21,12,8,17,19,25,3,11,19,14,8,12,15,17,8,15,15,11,17,12,12,12,7,5,5,6,6,9,8,9,10,10,12,15,4,10,17,9,8,7,6,6,6,6,6,12,11,8,7,4,9,9,9,5,7,5,2,8,14,39,20,7,12,14,5,10
"5","E01000005",NA,NA,2,NA,3,2,NA,1,4,1,1,3,4,1,1,2,12,8,6,4,3,3,4,2,2,1,3,1,1,1,NA,2,2,2,7,1,NA,2,1,3,3,4,2,6,8,6,1,1,2,3,6,2,2,1,NA,2,NA,3,NA,1,1,1,NA,1,3,5,3,4,NA,1,4,1,1,NA,3,2,3,3,1,3,4,8,2,2,4,NA,6,3,2,1,3,3,3,1,1,NA
"6","E01000006",4,1,2,1,2,5,7,4,25,42,51,28,2,5,13,9,7,11,9,13,14,7,21,4,8,8,4,10,13,17,11,9,11,8,13,10,13,7,12,7,2,10,7,15,6,8,12,13,6,6,15,9,2,6,3,NA,1,1,2,8,1,4,5,2,3,1,3,3,3,5,1,5,4,4,4,5,6,5,4,4,3,9,8,8,4,4,5,7,2,4,3,4,5,1,7,3
"7","E01000007",NA,2,NA,2,NA,1,NA,1,NA,1,4,NA,11,28,30,24,NA,NA,3,4,2,3,3,3,5,3,4,7,5,7,9,4,5,24,26,13,7,8,9,6,3,4,4,2,7,5,2,18,20,29,5,7,5,6,2,2,NA,1,3,1,2,NA,1,NA,1,NA,NA,NA,2,1,2,NA,2,3,1,8,6,4,7,9,4,1,8,7,7,4,5,2,7,4,3,5,4,7,2,2
"8","E01000008",NA,NA,NA,1,2,NA,1,NA,1,1,1,3,1,2,4,2,3,1,2,1,1,1,5,NA,6,4,5,2,3,1,6,1,1,3,4,4,6,3,4,1,1,4,4,4,4,5,NA,5,1,2,2,4,2,3,2,1,NA,1,NA,1,2,2,NA,2,2,1,2,NA,1,1,NA,4,NA,1,1,1,4,1,1,3,2,3,1,4,4,4,4,NA,4,1,2,1,4,3,3,2
"9","E01000009",NA,4,1,3,3,2,4,2,7,4,7,8,6,5,5,3,8,9,6,9,7,5,4,6,9,7,8,5,4,25,33,17,9,7,4,12,7,8,11,5,5,6,12,12,6,7,11,11,10,14,13,8,1,3,2,2,NA,3,3,1,1,2,3,2,NA,3,4,7,5,2,1,2,3,1,8,4,2,4,5,6,10,5,7,5,11,NA,4,3,3,3,2,1,4,NA,3,2
"10","E01000010",2,4,2,NA,6,2,2,2,1,1,6,6,6,2,7,1,5,5,4,5,7,9,6,4,5,7,5,6,8,4,7,6,6,5,4,5,3,8,8,5,4,9,9,7,3,8,9,7,2,90,58,115,3,5,1,52,13,3,61,19,8,49,21,11,24,32,11,2,2,5,3,2,2,8,3,8,11,13,16,27,19,13,33,25,32,12,14,10,9,13,13,10,15,7,7,7
